economy,Pop-YR2002,Pop-YR2021,Pop%,Life-YR2002,Life-YR2021,Life%,Fer-YR2002,Fer-YR2021,Fer%,Death-YR2002,Death-YR2021,Death%,Birth-YR2002,Birth-YR2021,Birth%,Med_Age-YR2002,Med_Age-YR2021,Med%,Pop_Gro-YR2002,Pop_Gro-YR2021
ECA,370807684,401537489,0.08287262191686406,67.8388759216773,71.4330856991183,0.05298156445856583,1.66626841041378,1.88324091441101,0.1302146176697605,12.0679016047656,12.501381731515,0.03592009124255857,13.167762060071,13.3969282651738,0.01740358035460776,,,,0.0184766010597741,0.181062047701189
ECS,865474170,923419216,0.06695179129378293,73.5029038659978,76.6303814237821,0.042549034028450894,1.54833410020188,1.69311297680023,0.09350622490292815,10.8151389305197,11.8497524564176,0.09566345217982164,11.5436597489849,11.0716970253387,-0.040885016875839786,,,,0.18115759403598,0.0341351528567913
ECU,13070609,17797737,0.36166088359004545,73.613,73.67,0.0007743197533045532,2.972,2.026,-0.31830417227456265,4.875,6.719,0.3782564102564103,24.46,16.817,-0.3124693376941946,21.6,27.6,0.2777777777777777,1.73709315382378,1.18206337539033
EGY,74393759,109262178,0.468700862393578,68.564,70.221,0.024167201446823494,3.318,2.917,-0.12085593731163358,6.202,6.327,0.020154788777813515,26.477,22.558,-0.14801525852626807,20.5,23.9,0.1658536585365853,2.09110329331686,1.65838367949689
EMU,324141533,343067846,0.05838904019744984,78.6821261833129,81.7088115579717,0.038467254527505323,1.45925137328105,1.50451028045114,0.031015154755912988,9.55558941908873,11.0517838279604,0.15657792975939255,10.3328870289634,8.9929039652524,-0.1296813813946659,,,,0.489563280946228,0.0450256475360504
ERI,2547424,3620312,0.42116585224917413,58.811,66.536,0.1313529781843532,5.233,3.867,-0.2610357347601757,9.727,6.729,-0.3082142489976355,37.239,28.624,-0.231343483981847,16.6,18.2,0.09638554216867457,3.41382758677749,1.7961013366299
ESP,41431558,47415750,0.14443560148039802,79.5682926829268,83.1780487804878,0.04536676577874532,1.25,1.19,-0.04800000000000004,8.8,9.5,0.07954545454545436,10.1,7.1,-0.29702970297029707,37.1,43.9,0.1832884097035039,1.41259540475782,0.105706398137095
EST,1379350,1330932,-0.03510204081632651,70.9048780487805,76.7414634146342,0.08231570981390446,1.36,1.61,0.18382352941176472,13.3,14.0,0.05263157894736836,9.4,10.0,0.06382978723404253,37.6,41.5,0.10372340425531901,-0.633433796423808,0.105996956310127
ETH,71073215,120283026,0.692381947263818,51.517,64.975,0.26123415571558883,6.374,4.159,-0.3475054910574208,13.96,6.776,-0.5146131805157594,43.39,32.383,-0.2536759622032726,15.1,18.5,0.22516556291390732,2.93296991314103,2.60431928274974
EUU,430898141,447179800,0.03778540088897708,77.531003298642,80.38730785169,0.03684080473002238,1.4208155397779,1.52028345217397,0.07000761859038973,9.93843729328598,11.8614880178309,0.1934962879771911,10.1410296264982,9.10922842812667,-0.10174521092764244,,,,0.229815700555463,-0.11447929366399
FCS,641576379,1001462452,0.5609403412902145,56.1425499387283,61.2505901165685,0.09098340177663666,5.10254501288073,4.35905999142036,-0.14570866490810686,12.8684239776992,9.57837210497134,-0.25566859457144664,37.2107092696238,32.3264298257475,-0.13126004689901127,,,,2.45912273466773,2.25071554114066
FIN,5200598,5541017,0.06545766467625458,78.119512195122,81.9341463414634,0.04883074713540769,1.72,1.46,-0.15116279069767447,9.5,10.4,0.09473684210526323,10.7,9.0,-0.1588785046728971,39.0,42.4,0.08717948717948709,0.242381050233372,0.207288594407348
FJI,849891,924610,0.087915979813882,65.748,67.114,0.020776297377866904,2.976,2.475,-0.16834677419354838,6.999,8.859,0.26575225032147465,24.267,19.345,-0.20282688424609552,21.7,26.8,0.23502304147465436,1.01360189605196,0.45397664568484
FRA,61816234,67749632,0.09598446259278748,79.2609756097561,82.3243902439024,0.038649721512754365,1.88,1.83,-0.02659574468085102,8.8,9.7,0.10227272727272707,12.9,10.9,-0.15503875968992242,37.3,41.6,0.11528150134048265,0.728746206873967,0.263854757064606
FRO,46813,52889,0.12979300621622203,78.8439024390244,83.4975609756098,0.059023696096022205,2.559,2.293,-0.10394685423993744,8.3,8.1,-0.024096385542168752,15.0,12.8,-0.1466666666666666,34.3,37.9,0.10495626822157433,1.22075921220517,0.900256782879419
FSM,111992,113131,0.010170369312093808,69.46,70.71,0.017995968902965842,3.961,2.711,-0.31557687452663474,5.128,6.211,0.2111934477379096,29.213,20.777,-0.2887755451340157,18.6,23.4,0.25806451612903203,0.0392962405699845,0.910158700223977
GAB,1341696,2341179,0.7449399864052662,61.292,65.821,0.07389218821379617,4.36,3.491,-0.19931192660550467,9.767,7.258,-0.25688543053138113,33.101,27.142,-0.18002477266547834,18.5,21.6,0.16756756756756763,2.65137953739362,2.09798810279019
GBR,59370479,67026300,0.1289499618151977,78.1439024390244,80.7,0.032710134523549206,1.63,1.56,-0.04294478527607348,10.2,9.7,-0.0490196078431373,11.3,10.1,-0.10619469026548678,37.0,39.6,0.07027027027027022,0.423337079636281,-0.0819253049161613
GEO,3978515,3708610,-0.06784063903240278,70.024,71.694,0.0238489660687764,1.563,2.081,0.3314139475367883,11.409,15.166,0.3293014286966429,11.798,13.412,0.13680284794032893,32.8,36.4,0.10975609756097571,-0.89725367267161,-0.379636607027231
GHA,20758326,32833031,0.5816800930865043,58.608,63.795,0.08850327600327601,4.723,3.563,-0.2456066059707812,9.744,7.627,-0.21726190476190477,35.344,27.548,-0.22057492077863294,17.6,20.4,0.15909090909090895,2.74837991725016,2.00774487031161
GIB,27892,32669,0.1712677470242363,80.26,79.329,-0.011599800647894454,1.666,1.848,0.10924369747899165,7.541,11.546,0.5310966715289749,11.188,10.714,-0.04236682159456562,37.5,41.7,0.1120000000000001,0.614966065167533,-0.122365336936279
GIN,8577790,13531906,0.5775515604835277,53.278,58.892,0.10537182326663919,5.793,4.399,-0.24063524943897807,14.094,9.99,-0.29118773946360144,40.547,34.425,-0.15098527634596892,15.9,17.7,0.1132075471698113,1.55168555991374,2.44431721949133
GMB,1522223,2639916,0.7342505007479194,57.08,62.083,0.08764891380518569,5.728,4.684,-0.1822625698324022,11.57,7.543,-0.34805531547104585,42.519,33.257,-0.21783202803452573,15.9,16.8,0.05660377358490565,2.85020452877525,2.52879318000917
GNB,1285678,2060721,0.6028282353746428,50.986,59.652,0.16996822657200017,5.612,4.005,-0.28635067712045614,15.07,8.716,-0.42163238221632393,42.257,31.087,-0.2643349030929787,16.4,18.3,0.11585365853658547,2.22560146575472,2.20258924567144
GNQ,754115,1634466,1.1673962194095067,54.085,60.594,0.12034760099842834,5.731,4.266,-0.25562729017623453,12.989,9.042,-0.30387250750635153,40.285,30.498,-0.24294402383020963,17.7,20.9,0.1807909604519773,4.73080674836867,2.37849451867221
GRC,10902022,10641221,-0.0239222595588231,78.6414634146341,80.1829268292683,0.019601153738796562,1.28,1.39,0.0859375,9.5,13.5,0.42105263157894735,9.5,8.0,-0.1578947368421053,37.9,44.7,0.17941952506596315,0.366566462148184,-0.537756534706951
GRD,108231,124610,0.15133372139220747,73.167,74.936,0.024177566389219196,2.455,2.004,-0.18370672097759677,7.14,8.151,0.14159663865546213,17.385,15.961,-0.08190969226344558,23.7,30.8,0.2995780590717301,0.272937296750141,0.762873605069601
GRL,56609,56653,0.0007772615661820748,67.1529268292683,71.1475609756098,0.05948562981473016,2.566,1.8,-0.2985190958690568,7.9,9.4,0.1898734177215189,16.9,13.4,-0.20710059171597628,31.9,33.9,0.06269592476489039,0.45857426832132,0.506106194434674
GTM,12147518,17109746,0.4084972749165714,68.386,69.237,0.012444067499195688,4.371,2.395,-0.45207046442461685,5.859,6.504,0.11008704557091642,33.227,21.12,-0.36437234778944827,17.0,22.1,0.30000000000000004,2.29788241650457,1.4803168061015
GUM,162563,170534,0.04903329785990662,75.793,76.656,0.011386275777446553,2.706,2.569,-0.05062823355506285,4.411,7.337,0.663341645885287,20.85,16.376,-0.21458033573141488,26.8,29.8,0.11194029850746268,0.641188051128184,0.767004481277612
GUY,760323,804567,0.058191058273917795,64.728,65.673,0.01459955506117927,2.961,2.397,-0.19047619047619047,7.351,9.987,0.3585906679363353,24.516,20.298,-0.1720509055310817,21.4,25.5,0.19158878504672905,0.0676257087659106,0.919614738982755
HIC,1115681856,1241269526,0.11256584421858706,77.9121078412331,79.9238302409305,0.025820407834387327,1.65347882168381,1.54546985334476,-0.06532225688204452,8.46883818565435,10.0207542950942,0.1832501785272851,11.8240706639425,9.73821688620855,-0.17640741814024852,35.8,40.7,0.13687150837988837,0.614298292108501,-0.0367872526771009
HKG,6744100,7413100,0.09919781735146271,81.4268292682927,85.4926829268293,0.04993260446308234,0.941,0.772,-0.17959617428267793,5.1,6.9,0.3529411764705883,7.1,5.0,-0.2957746478873239,36.2,44.9,0.24033149171270707,0.44284682728195,-0.91177674914823
HND,7019908,10278345,0.46417089796618427,69.366,70.123,0.010913127468788808,3.956,2.363,-0.4026794742163802,4.848,5.608,0.15676567656765683,32.052,21.071,-0.3425995257706227,17.5,23.4,0.33714285714285697,2.62751491094002,1.5351396675707
HPC,502494432,861156745,0.7137637556947098,53.6299965169525,62.3027853999622,0.16171526097840072,5.93070022214564,4.62029967714928,-0.22095207916650972,12.9901526569074,7.87810405711912,-0.393532603873596,42.3391103927078,35.0587121764505,-0.171954444690251,,,,2.96159999353824,2.75516213418111
HRV,4302174,3879000,-0.09836282772384386,74.7173170731707,76.4243902439025,0.022847088701807294,1.42,1.62,0.14084507042253525,11.4,16.2,0.42105263157894735,9.0,9.4,0.04444444444444451,38.4,43.7,0.13802083333333348,0.0588712912047699,-4.25664890192098
HTI,8661546,11447569,0.3216542404785474,58.855,63.192,0.07368957607679905,4.125,2.814,-0.3178181818181818,10.023,8.676,-0.13439090092786588,30.333,23.498,-0.22533214650710442,18.6,23.0,0.23655913978494625,1.744825137965,1.23729899666313
HUN,10158608,9709891,-0.04417111084510794,72.3487804878049,74.4658536585366,0.02926204362336904,1.3,1.59,0.22307692307692317,13.1,16.1,0.22900763358778642,9.5,9.7,0.021052631578947212,37.7,42.7,0.13262599469496017,-0.28475137719698,-0.413751024472153
IBD,4073344085,4895306842,0.20179065157467546,68.9875853336328,72.1250802575313,0.04547912365283069,2.29603556712575,1.82444877714955,-0.2053917616644535,7.52969925826092,8.68127834354331,0.15293825766267877,19.0946032383385,13.6463765745549,-0.28532808960620604,,,,1.14008770423976,0.564200718049548
